intent,qid
locations,18
locations,23
trajectory,30
condition,59
pattern,62
impact,65
site,66
relationship,67
need,68
effect,74
saving,75
consequences,76
flow,82
pattern,87
flow,88
impact,94
type,101
snowfall,103
route,104
slope,105
relationship,107
route,108
pattern,110
effect,112
consequences,113
casualty,118
covered,119
locations,120
categories,121
distribution,124
distribution,134
trend,136
trends,137
categories,138
rate,139
mileage,140
rate,141
relationship,142
relationship,143
distribution,145
distribution,146
trend,147
concentration,148
portion,151
rates,152
results,153
portions,154
density,155
density,156
areas,157
density,158
density,159
density,160
density,161
surface,162
concentration,163
trends,164
relationship,167
relationship,170
acreage,174
breakdown,179
boundaries,181
percentage,184
zones,185
zone,186
relationship,189
zones,192
spread,197
patterns,205
areas,207
walkability,210
density,211
connectivity,212
mix,213
bikeability,214
density,215
degree,216
connectivity,217
topography,218
density,219
effect,220
impact,222
accessibility,224
distance,225
distance,227
distance,228
population,233
dynamics,234
emission,236
emission,237
emission,238
sites,239
access,240
density,241
factors,245
factors,246
distribution,248
factors,249
accessibility,251
influence,254
access,257
accessibility,260
patterns,261
impact,262
pattern,263
patterns,267
relationship,272
accessibility,274
changes,275
factors,276
impact,278
effect,282
effect,285
distribution,291
ratio,292
density,293
correlation,294
ratio,297
ratio,298
number,299
ratio,300
structure,301
calculated,302
effect,305
accessibility,306
level,308
volumes,309
trends,314
difference,316
pattern,324
effects,326
accessibility,329
distribution,330
change,334
changes,335
changes,336
changes,337
distribution,338
pattern,340
relationships,341
relationships,342
pattern,343
behavior,351
behavior,352
pattern,353
relationship,354
patterns,355
differences,356
effect,357
autocorrelation,360
distribution,361
factors,362
patterns,363
relationships,364
differences,367
characteristics,368
methods,377
factors,379
characteristics,380
pattern,382
relationships,383
changes,386
trends,387
distribution,388
changes,389
variations,392
impacts,393
pattern,394
patterns,395
potential,397
interactions,399
changes,400
distribution,403
map,404
effects,407
association,408
impact,410
impact,411
exposure,412
types,417
walkability,419
accessibility,421
distribution,424
aspect,430
trends,431
rates,432
density,433
impact,434
dynamics,435
accessibility,436
access,437
access,438
access,439
accessibility,440
accessibility,441
impact,442
changes,443
changes,444
changes,445
calculated,446
effect,447
effect,448
effect,449
changes,450
interactions,451
patterns,452
areas,453
distribution,454
distribution,455
distribution,456
distribution,457
distribution,458
portion,459
portion,460
accessibility,461
association,462
effect,463
effect,464
accessibility,465
zones,466
zones,467
consequences,468
